club_name,club_frase,jugadores,embedding_index
central cordoba sde,central cordoba sde,"Jugadores del club central cordoba sde:
* brian rolando blasi
* fabio jesus pereyra
* jesus miguel soraire
* enzo maximiliano kalinski
* ciro pablo rius aragallo
* marcos ignacio ledesma
* gustavo damian canto
* nicolas leguizamon
* matias alejandro laba
* julian alejandro navas
* lautaro montoya
* matias mansilla
* abel alejandro bustos
* federico jourdan
* cristian gonzalo torres
* jose gomez
* facundo castelli
* sebastian valdez
* leandro ciccolini
* mateo montenegro
* luciano bocco
* gino olguin
* renzo lopez patron
* cesar pablo rigamonti
* anibal jonathan gaston bay
* cristopher benjamin toselli rios
* ivan rodrigo ramirez segovia
* alejandro martinez
* claudio maximiliano riano
* nicolas hugo linares
* matias di benedetto
* francisco guillermo grahl
* hernan dario lopez munoz
* paulo fabian lima simoes
* nahuel eugenio banegas
* lucas agustin besozzi
* rodrigo montes
* andres ulises mehring
* sebastian cesar helios ribas barbato
* jose ramon leguizamon ortega
* pablo abel arganaraz paradi
* nelson federico insfran
* gonzalo rios rios
* agustin gallo
* axel pinto
* lucas nahuel arzamendia
* lautaro gabriel torres
* pablo barraza
* emanuel marcelo cuevas
* henry matias mier codina
* leonardo sequeira
* milton gimenez
* juan daniel galeano
* juan cruz gonzalez
* cesar omar taborda
* dixon stiven renteria mosquera
* ariel mauricio rojas
* jose santiago rosales
* hugo ismael vera oviedo
* jose luis fernandez
* cristian hernan diaz
* ivan ricardo ramirez
* leandro vella
* leonel caffaratti
* pablo javier palacios alvarenga
* mauro alejandro barraza
* juan ignacio vieyra
* matias jose pato rios
* agustin lionel allione
* santiago alejandro gallucci otero
* jhoao leandro rodriguez gonzalez
* dany jose cure correa
* lisandro joel alzugaray
* maximiliano cavallotti
* emanuel maximiliano romero
* marcos fabian sanchez
* francisco manenti
* nicolas correa risso
* juan pablo ruiz gomez
* leonardo enrique villalba
* jose adolfo valencia arrechea
* leandro daniel requena",10
chacarita juniors,chacarita juniors,"Jugadores del club chacarita juniors:
* german david re
* juan martin imbert
* federico guillermo rosso
* matias ezequiel rodriguez
* alejandro fabian gagliardi
* miguel alberto mellado
* alan ariel robledo
* leandro emmanuel martinez
* gabriel alejandro lazarte
* juan ignacio alvarez morinigo
* yefri antonio reyes pinto
* agustin alejandro modula
* gonzalo groba
* elias alderete
* gian crocci
* lucas emanuel alvarez
* tomas segovia
* joaquin ibanez
* julian lichtenauer
* facundo rodriguez calleriza
* lucas elias ontivero
* lucas manuel destefano
* lucas lezcano
* lucas lescano
* nahuel elias tribulo
* cristian daniel barrios
* sebastian gorga nogueira
* cristian daniel campestrini
* kevin mateo cardona bedoya
* lucas gabriel lescano martinez
* nicolas vidal
* matias medina",11
club atletico aldosivi,club atletico aldosivi,"Jugadores del club club atletico aldosivi:
* alan jesus alegre",12
club atletico banfield,club atletico banfield,"Jugadores del club club atletico banfield:
* juan manuel cobo galvez",13
club atletico colon,club atletico colon,"Jugadores del club club atletico colon:
* marcos gabriel fernandez
* pablo sebastian cuevas
* mauro marconato
* osvaldo gabriel arroyo",14
club atletico huracan,club atletico huracan,"Jugadores del club club atletico huracan:
* joaquin nicolas mendive
* german alejandro lesman
* maximiliano agustin zelaya
* federico luciano nieto",15
club atletico independiente,club atletico independiente,"Jugadores del club club atletico independiente:
* juan antonio di lorenzo
* emiliano ariel rigoni
* lucas martin villafanez",16
club atletico lanus,club atletico lanus,"Jugadores del club club atletico lanus:
* lautaro rodrigo valenti
* guillermo sara
* marcos emanuel astina
* maximiliano caceres
* agustin daniel pelletieri",17
club atletico sarmiento,club atletico sarmiento,"Jugadores del club club atletico sarmiento:
* luciano maza",18
club atletico temperley,club atletico temperley,"Jugadores del club club atletico temperley:
* alexis joel zarate maldonado
* david eduardo achucarro trinidad
* cristian ignacio paz
* rodrigo cordoba",19
